candidate;party;votes;percent;year;city;runoff;support;job;year_birth;born_city;;incumbent;male;mig_background;population;pop_density;area_industry_pc;area_agricul_pc;area_forest_pc;male;female;unter 15;15-18;18-25;25-40;40-65;65 u.mehr;workers_agricul;workers_manu;workers_service;unemployed;health_care_receivers;asylum_claims;kom_wahl_cdu;kom_wahl_spd;kom_wahl_grüne;kom_wahl_fdp;kom_wahl_afd;kom_wahl_linke;btw_erststimme_pc;disp_income;investment_p_worker;numb_new_flat_allowed;new_flat_sqm_allowed;visits_total;visits_foreigner;feinstaub;rile;lastname_background_density;umfrage
Heinke Salisch ;SPD;27.528;27,10;1998;Karlsruhe;0;SPD;Bürgermeisterin;1941;0;Grevenbroich;0;1;0;276.536;1.594;9,6;24,3;25,9;136.443;140.093;36.778;7.096;21.444;74.290;88.420;48.508;1.3;107.8;363.7;9.606;7.082;192;43,8;24,7;0;0;0;0;38,9;5.533;7.436;912;85.860;557.318;128.707;176,5;-2;Germany;
Ullrich Eidenmüller ;FDP;24.420;24,00;1998;Karlsruhe;0;FDP;Bürgermeister;1949;0;Erbach;0;1;0;276.536;1.594;9,6;24,3;25,9;136.443;140.093;36.778;7.096;21.444;74.290;88.420;48.508;1.3;107.8;363.7;9.606;7.082;192;43,8;24,7;0;0;0;0;10,3;5.533;7.436;912;85.860;557.318;128.707;176,5;15;Germany;
Monika Storck ;GRÜNE;4.751;4,70;1998;Karlsruhe;0;GRÜNE;Managerin;1952;0;Berlin;0;0;0;276.536;1.594;9,6;24,3;25,9;136.443;140.093;36.778;7.096;21.444;74.290;88.420;48.508;1.3;107.8;363.7;9.606;7.082;192;43,8;24,7;0;0;0;0;10,9;5.533;7.436;912;85.860;557.318;128.707;176,5;-16;Luxembourg;
Lüppo Cramer ;KAL;2.525;2,50;1998;Karlsruhe;0;KAL;Drucker;1948;0;Emden;0;1;0;276.536;1.594;9,6;24,3;25,9;136.443;140.093;36.778;7.096;21.444;74.290;88.420;48.508;1.3;107.8;363.7;9.606;7.082;192;43,8;24,7;0;0;0;0;;5.533;7.436;912;85.860;557.318;128.707;176,5;-27;Denmark;
Florian Burlafinger;;311;0,30;1998;Karlsruhe;0;;Assessor ;;1;Karlsruhe;0;1;0;276.536;1.594;9,6;24,3;25,9;136.443;140.093;36.778;7.096;21.444;74.290;88.420;48.508;1.3;107.8;363.7;9.606;7.082;192;43,8;24,7;0;0;0;0;;5.533;7.436;912;85.860;557.318;128.707;176,5;0;Germany;
Günter Jäck;;794;0,80;1998;Karlsruhe;0;;Jurist;1940;1;Karlsruhe;0;1;0;276.536;1.594;9,6;24,3;25,9;136.443;140.093;36.778;7.096;21.444;74.290;88.420;48.508;1.3;107.8;363.7;9.606;7.082;192;43,8;24,7;0;0;0;0;;5.533;7.436;912;85.860;557.318;128.707;176,5;0;Germany;
Peter Alexander Kolb;;398;0,40;1998;Karlsruhe;0;;.;;;.;0;1;0;276.536;1.594;9,6;24,3;25,9;136.443;140.093;36.778;7.096;21.444;74.290;88.420;48.508;1.3;107.8;363.7;9.606;7.082;192;43,8;24,7;0;0;0;0;;5.533;7.436;912;85.860;557.318;128.707;176,5;0;Germany;
Günther Matt;;456;0,40;1998;Karlsruhe;0;;.;;;.;0;1;0;276.536;1.594;9,6;24,3;25,9;136.443;140.093;36.778;7.096;21.444;74.290;88.420;48.508;1.3;107.8;363.7;9.606;7.082;192;43,8;24,7;0;0;0;0;;5.533;7.436;912;85.860;557.318;128.707;176,5;0;Liechtenstein;
Fritz Kuhn;GRÜNE;70492;36,50;2012;Stuttgart;0;GRÜNE;MdB;1955;0;Bad Mergentheim;0;1;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;20,1;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;-20;Switzerland;0,31
Sebastian Turner;CDU;66753;34,50;2012;Stuttgart;0;CDU, FDP, FW;Medienunternehmer;1966;0;Clausthal;0;1;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;28,5;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;3;UK;0,28
