candidate;party;votes;percent;year;city;runoff;support;job;year_birth;born_city;;incumbent;male;mig_background;population;pop_density;area_industry_pc;area_agricul_pc;area_forest_pc;male;female;unter 15;15-18;18-25;25-40;40-65;65 u.mehr;workers_agricul;workers_manu;workers_service;unemployed;health_care_receivers;asylum_claims;kom_wahl_cdu;kom_wahl_spd;kom_wahl_grüne;kom_wahl_fdp;kom_wahl_afd;kom_wahl_linke;btw_erststimme_pc;disp_income;investment_p_worker;numb_new_flat_allowed;new_flat_sqm_allowed;visits_total;visits_foreigner;feinstaub;rile;lastname_background_density;umfrage
Hannes Rockenbauch;LINKE;;;2020;Stuttgart;0;Linke, SöS, Piraten, DiB;Ingenieur;1980;1;Stuttgart;0;1;0;635.911;3.067;7,5;22,7;23,5;635.911;317.794;82.678;15.147;53.613;167.486;203.140;113.847;1,1;105,2;435,2;13.999;14.893;2.811;19,4;11,6;26,3;7;6,1;5,3;7,6;21.933;28.255;1.637;137.007;4.086.683;1.268.904;114,5;-42;Germany;0,19
John Heer;;;;2020;Stuttgart;0;;Bordellbetreiber;1966;1;Stuttgart;0;1;0;635.911;3.067;7,5;22,7;23,5;635.911;317.794;82.678;15.147;53.613;167.486;203.140;113.847;1,1;105,2;435,2;13.999;14.893;2.811;19,4;11,6;26,3;7;6,1;5,3;0;21.933;28.255;1.637;137.007;4.086.683;1.268.904;114,5;0;Switzerland;0,00
Fridi Miller;;;;2020;Stuttgart;0;;Dauerkandidatin;1969;0;Böblingen;0;0;0;635.911;3.067;7,5;22,7;23,5;635.911;317.794;82.678;15.147;53.613;167.486;203.140;113.847;1,1;105,2;435,2;13.999;14.893;2.811;19,4;11,6;26,3;7;6,1;5,3;0;21.933;28.255;1.637;137.007;4.086.683;1.268.904;114,5;0;United States;0,00
Issam Abdul-Karim;;;;2020;Stuttgart;0;;Gastronom;1970;0;Beirut;0;1;1;635.911;3.067;7,5;22,7;23,5;635.911;317.794;82.678;15.147;53.613;167.486;203.140;113.847;1,1;105,2;435,2;13.999;14.893;2.811;19,4;11,6;26,3;7;6,1;5,3;0;21.933;28.255;1.637;137.007;4.086.683;1.268.904;114,5;0;Ghana;0,00
Marco Völker;;;;2020;Stuttgart;0;;Manager;1977;0;Bruchsal;0;1;0;635.911;3.067;7,5;22,7;23,5;635.911;317.794;82.678;15.147;53.613;167.486;203.140;113.847;1,1;105,2;435,2;13.999;14.893;2.811;19,4;11,6;26,3;7;6,1;5,3;0;21.933;28.255;1.637;137.007;4.086.683;1.268.904;114,5;0;Germany;0,00
Martin Körner;SPD;;;2020;Stuttgart;0;SPD;Volkswirt;1970;0;Schwäbisch Hall;0;1;0;635.911;3.067;7,5;22,7;23,5;635.911;317.794;82.678;15.147;53.613;167.486;203.140;113.847;1,1;105,2;435,2;13.999;14.893;2.811;19,4;11,6;26,3;7;6,1;5,3;15,5;21.933;28.255;1.637;137.007;4.086.683;1.268.904;114,5;-21;Germany;0,23
Werner Ressdorf;;;;2020;Stuttgart;0;;Industriekaufmann;1954;0;Rio de Janeiro;0;1;0;635.911;3.067;7,5;22,7;23,5;635.911;317.794;82.678;15.147;53.613;167.486;203.140;113.847;1,1;105,2;435,2;13.999;14.893;2.811;19,4;11,6;26,3;7;6,1;5,3;0;21.933;28.255;1.637;137.007;4.086.683;1.268.904;114,5;0;Germany;0,00
Sebastian Reutter;;;;2020;Stuttgart;0;;Geschäftsführer;1980;1;Stuttgart;0;1;0;635.911;3.067;7,5;22,7;23,5;635.911;317.794;82.678;15.147;53.613;167.486;203.140;113.847;1,1;105,2;435,2;13.999;14.893;2.811;19,4;11,6;26,3;7;6,1;5,3;0;21.933;28.255;1.637;137.007;4.086.683;1.268.904;114,5;0;Germany;0,00
Veronika Kienzle;GRÜNE;;;2020;Stuttgart;0;Grüne;Staatsrätin;1963;0;Worpswede;0;0;0;635.911;3.067;7,5;22,7;23,5;635.911;317.794;82.678;15.147;53.613;167.486;203.140;113.847;1,1;105,2;435,2;13.999;14.893;2.811;19,4;11,6;26,3;7;6,1;5,3;23,3;21.933;28.255;1.637;137.007;4.086.683;1.268.904;114,5;-21;Germany;0,25
Dr. Ralph Schertlen;;;;2020;Stuttgart;0;;Elektroingenieur ;1969;1;Stuttgart;0;1;0;635.911;3.067;7,5;22,7;23,5;635.911;317.794;82.678;15.147;53.613;167.486;203.140;113.847;1,1;105,2;435,2;13.999;14.893;2.811;19,4;11,6;26,3;7;6,1;5,3;0;21.933;28.255;1.637;137.007;4.086.683;1.268.904;114,5;0;Germany;0,00
Michael Ballweg;;;;2020;Stuttgart;0;;IT-Unternehmer;1975;0;;0;1;0;635.911;3.067;7,5;22,7;23,5;635.911;317.794;82.678;15.147;53.613;167.486;203.140;113.847;1,1;105,2;435,2;13.999;14.893;2.811;19,4;11,6;26,3;7;6,1;5,3;0;21.933;28.255;1.637;137.007;4.086.683;1.268.904;114,5;0;Germany;0,00
Dr. Frank Mentrup;SPD;;;2020;Karlsruhe;0;SPD, Grüne;Oberbürgermeister;1964;0;Mannheim;1;1;0;312.060;1.799;10;22,6;25,6;312.060;159.887;37.552;7.174;34.383;76.592;98.472;57.887;0,3;36;204,4;6.575;8.671;955;18,7;14,3;30;7,3;7,1;7;23,6;9.120;8.861;514;48.455;1.149.181;267.736;66,4;-21;Germany;
Sven Weigt;CDU;;;2020;Karlsruhe;0;CDU, FDP;Bürgermeister;1971;0;Halle an der Saale;0;1;0;312.060;1.799;10;22,6;25,6;312.060;159.887;37.552;7.174;34.383;76.592;98.472;57.887;0,3;36;204,4;6.575;8.671;955;18,7;14,3;30;7,3;7,1;7;28,5;9.120;8.861;514;48.455;1.149.181;267.736;66,4;3;Germany;
Petra Lorenz;FW;;;2020;Karlsruhe;0;FW, Für KA;Unternehmerin;1967;0;Pforzheim;0;0;0;312.060;1.799;10;22,6;25,6;312.060;159.887;37.552;7.174;34.383;76.592;98.472;57.887;0,3;36;204,4;6.575;8.671;955;18,7;14,3;30;7,3;7,1;7;8,6;9.120;8.861;514;48.455;1.149.181;267.736;66,4;0;Germany;
Dr. Paul Schmidt;AfD;;;2020;Karlsruhe;0;AfD;Physiker;1966;1;Karlsruhe;0;1;0;312.060;1.799;10;22,6;25,6;312.060;159.887;37.552;7.174;34.383;76.592;98.472;57.887;0,3;36;204,4;6.575;8.671;955;18,7;14,3;30;7,3;7,1;7;10;9.120;8.861;514;48.455;1.149.181;267.736;66,4;17;Germany;
Vanessa Schulz;Partei;;;2020;Karlsruhe;0;Partei;Projektassistentin;1981;0;Osnabrück;0;0;0;312.060;1.799;10;22,6;25,6;312.060;159.887;37.552;7.174;34.383;76.592;98.472;57.887;0,3;36;204,4;6.575;8.671;955;18,7;14,3;30;7,3;7,1;7;0;9.120;8.861;514;48.455;1.149.181;267.736;66,4;0;Germany;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
