,index,city,party_FDP_gn,seats_FDP_gn,seats_total,party_FDP_bn,seats_FDP_bn,party_CDU_gn,seats_CDU_gn,party_CDU_bn,seats_CDU_bn,party_SPD_gn,seats_SPD_gn,party_SPD_bn,seats_SPD_bn,party_Grüne_gn,seats_Grüne_gn,party_Grüne_bn,seats_Grüne_bn,party_AfD_gn,seats_AfD_gn,party_AfD_bn,seats_AfD_bn,party_Die Linke_gn,seats_Die Linke_gn,party_Die Linke_bn,seats_Die Linke_bn
474,22,Eltville am Rhein,AfD,2,37,AfD,2,Grüne,6,SPD,5,CDU,8,CDU,9,CDU,7,CDU,8,CDU,8,SPD,5,AfD,2,AfD,2
475,23,Eltville am Rhein,Grüne,7,37,Grüne,7,CDU,11,AfD,3,AfD,2,Bürgerlich Liberale Liste,4,AfD,2,SPD,5,Grüne,7,CDU,9,Grüne,7,Grüne,7
476,24,Eltville am Rhein,SPD,5,37,SPD,5,AfD,2,Bürgerlich Liberale Liste,4,Grüne,7,Grüne,9,Grüne,10,CDU,9,SPD,5,Bürgerlich Liberale Liste,4,SPD,5,SPD,5
477,25,Eltville am Rhein,CDU,9,37,CDU,9,CDU,12,Grüne,9,SPD,6,CDU,10,CDU,8,Bürgerlich Liberale Liste,5,Bürgerlich Liberale Liste,4,Grüne,8,CDU,9,CDU,9
478,26,Eltville am Rhein,Bürgerlich Liberale Liste,4,37,Bürgerlich Liberale Liste,4,Grüne,7,CDU,6,Bürgerlich Liberale Liste,4,Grüne,10,Grüne,11,Grüne,6,CDU,9,CDU,10,Bürgerlich Liberale Liste,4,Bürgerlich Liberale Liste,4
479,27,Eltville am Rhein,Grüne,8,37,Grüne,8,CDU,13,SPD,6,CDU,9,CDU,11,Bürgerlich Liberale Liste,4,SPD,6,Grüne,8,Grüne,9,Grüne,8,Grüne,8
480,28,Eltville am Rhein,CDU,10,37,CDU,10,SPD,4,Grüne,10,Grüne,8,AfD,3,SPD,4,CDU,10,AfD,3,SPD,6,CDU,10,CDU,10
481,29,Eltville am Rhein,Grüne,9,37,Grüne,9,Bürgerlich Liberale Liste,4,Bürgerlich Liberale Liste,5,CDU,10,SPD,2,Grüne,12,AfD,3,CDU,10,CDU,11,Grüne,9,Grüne,9
482,30,Eltville am Rhein,SPD,6,37,SPD,6,CDU,14,Grüne,11,SPD,7,Grüne,11,CDU,9,Bürgerlich Liberale Liste,6,Grüne,9,Bürgerlich Liberale Liste,5,SPD,6,SPD,6
483,31,Eltville am Rhein,CDU,11,37,CDU,11,Grüne,8,CDU,7,Grüne,9,CDU,12,Grüne,13,CDU,11,SPD,6,Grüne,10,CDU,11,CDU,11
484,32,Eltville am Rhein,Bürgerlich Liberale Liste,5,37,Bürgerlich Liberale Liste,5,CDU,15,AfD,4,CDU,11,Bürgerlich Liberale Liste,5,CDU,10,Grüne,7,CDU,11,CDU,12,Bürgerlich Liberale Liste,5,Bürgerlich Liberale Liste,5
485,33,Eltville am Rhein,Grüne,10,37,Grüne,10,Grüne,9,SPD,7,Bürgerlich Liberale Liste,5,Grüne,12,Bürgerlich Liberale Liste,5,SPD,7,Bürgerlich Liberale Liste,5,SPD,7,Grüne,10,Grüne,10
486,34,Eltville am Rhein,CDU,12,37,CDU,12,CDU,16,Grüne,12,SPD,8,CDU,13,Grüne,14,CDU,12,Grüne,10,AfD,1,CDU,12,CDU,12
487,35,Eltville am Rhein,AfD,3,37,AfD,3,SPD,5,CDU,8,CDU,12,Grüne,13,SPD,5,Grüne,8,CDU,12,CDU,13,AfD,3,AfD,3
488,36,Eltville am Rhein,SPD,7,37,SPD,7,Bürgerlich Liberale Liste,5,SPD,8,Grüne,10,CDU,14,AfD,3,Bürgerlich Liberale Liste,7,SPD,7,Grüne,11,SPD,7,SPD,7
489,0,Floersheim am Main,CDU,1,37,CDU,1,CDU,1,SPD,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1
490,1,Floersheim am Main,CDU,2,37,CDU,2,CDU,2,Die Freien Bürger (dfb Flörsheim),1,SPD,1,CDU,2,CDU,2,Die Freien Bürger (dfb Flörsheim),1,CDU,2,CDU,2,CDU,2,CDU,2
491,2,Floersheim am Main,Die Freien Bürger (dfb Flörsheim),1,37,SPD,1,Die Freien Bürger (dfb Flörsheim),1,CDU,1,CDU,2,Die Freien Bürger (dfb Flörsheim),1,Die Freien Bürger (dfb Flörsheim),1,CDU,2,Die Freien Bürger (dfb Flörsheim),1,Die Freien Bürger (dfb Flörsheim),1,Die Freien Bürger (dfb Flörsheim),1,Die Freien Bürger (dfb Flörsheim),1
492,3,Floersheim am Main,SPD,1,37,Die Freien Bürger (dfb Flörsheim),1,CDU,3,Grüne Alternative Liste Flörsheim,1,Die Freien Bürger (dfb Flörsheim),1,Grüne Alternative Liste Flörsheim,1,SPD,1,SPD,1,SPD,1,SPD,1,SPD,1,SPD,1
493,4,Floersheim am Main,CDU,3,37,CDU,3,SPD,1,FDP,1,CDU,3,CDU,3,CDU,3,CDU,3,CDU,3,CDU,3,CDU,3,CDU,3
494,5,Floersheim am Main,FDP,1,37,Grüne Alternative Liste Flörsheim,1,CDU,4,SPD,2,SPD,2,FDP,1,Grüne Alternative Liste Flörsheim,1,Grüne Alternative Liste Flörsheim,1,Grüne Alternative Liste Flörsheim,1,Grüne Alternative Liste Flörsheim,1,Grüne Alternative Liste Flörsheim,1,Grüne Alternative Liste Flörsheim,1
495,6,Floersheim am Main,Grüne Alternative Liste Flörsheim,1,37,CDU,4,Grüne Alternative Liste Flörsheim,1,Die Freien Bürger (dfb Flörsheim),2,FDP,1,SPD,1,FDP,1,FDP,1,CDU,4,CDU,4,CDU,4,CDU,4
496,7,Floersheim am Main,CDU,4,37,SPD,2,CDU,5,CDU,2,CDU,4,CDU,4,CDU,4,Die Freien Bürger (dfb Flörsheim),2,FDP,1,FDP,1,FDP,1,FDP,1
497,8,Floersheim am Main,Die Freien Bürger (dfb Flörsheim),2,37,Die Freien Bürger (dfb Flörsheim),2,Die Freien Bürger (dfb Flörsheim),2,Grüne Alternative Liste Flörsheim,2,Grüne Alternative Liste Flörsheim,1,Die Freien Bürger (dfb Flörsheim),2,Die Freien Bürger (dfb Flörsheim),2,CDU,4,Die Freien Bürger (dfb Flörsheim),2,Die Freien Bürger (dfb Flörsheim),2,Die Freien Bürger (dfb Flörsheim),2,Die Freien Bürger (dfb Flörsheim),2
498,9,Floersheim am Main,SPD,2,37,CDU,5,FDP,1,FDP,2,Die Freien Bürger (dfb Flörsheim),2,CDU,5,CDU,5,SPD,2,SPD,2,SPD,2,SPD,2,SPD,2
499,10,Floersheim am Main,CDU,5,37,CDU,6,CDU,6,SPD,3,SPD,3,Grüne Alternative Liste Flörsheim,2,SPD,2,CDU,5,CDU,5,CDU,5,CDU,5,CDU,5
500,11,Floersheim am Main,CDU,6,37,SPD,3,SPD,2,Die Freien Bürger (dfb Flörsheim),3,CDU,5,CDU,6,CDU,6,Die Freien Bürger (dfb Flörsheim),3,CDU,6,CDU,6,CDU,6,CDU,6
501,12,Floersheim am Main,Die Freien Bürger (dfb Flörsheim),3,37,Die Freien Bürger (dfb Flörsheim),3,CDU,7,CDU,3,CDU,6,Die Freien Bürger (dfb Flörsheim),3,Die Freien Bürger (dfb Flörsheim),3,CDU,6,Die Freien Bürger (dfb Flörsheim),3,Die Freien Bürger (dfb Flörsheim),3,Die Freien Bürger (dfb Flörsheim),3,Die Freien Bürger (dfb Flörsheim),3
502,13,Floersheim am Main,FDP,2,37,Grüne Alternative Liste Flörsheim,2,Die Freien Bürger (dfb Flörsheim),3,Grüne Alternative Liste Flörsheim,3,Die Freien Bürger (dfb Flörsheim),3,CDU,7,Grüne Alternative Liste Flörsheim,2,Grüne Alternative Liste Flörsheim,2,SPD,3,SPD,3,SPD,3,SPD,3
503,14,Floersheim am Main,SPD,3,37,CDU,7,CDU,8,SPD,4,SPD,4,FDP,2,CDU,7,SPD,3,CDU,7,CDU,7,CDU,7,CDU,7
504,15,Floersheim am Main,Grüne Alternative Liste Flörsheim,2,37,CDU,8,Grüne Alternative Liste Flörsheim,2,Die Freien Bürger (dfb Flörsheim),4,CDU,7,SPD,2,SPD,3,CDU,7,Grüne Alternative Liste Flörsheim,2,Grüne Alternative Liste Flörsheim,2,Grüne Alternative Liste Flörsheim,2,Grüne Alternative Liste Flörsheim,2
505,16,Floersheim am Main,CDU,7,37,SPD,4,CDU,9,CDU,4,FDP,2,CDU,8,FDP,2,FDP,2,CDU,8,CDU,8,CDU,8,CDU,8
506,17,Floersheim am Main,CDU,8,37,Die Freien Bürger (dfb Flörsheim),4,SPD,3,FDP,3,CDU,8,Die Freien Bürger (dfb Flörsheim),4,CDU,8,Die Freien Bürger (dfb Flörsheim),4,FDP,2,FDP,2,FDP,2,FDP,2
507,18,Floersheim am Main,Die Freien Bürger (dfb Flörsheim),4,37,CDU,9,CDU,10,Grüne Alternative Liste Flörsheim,4,SPD,5,Grüne Alternative Liste Flörsheim,3,Die Freien Bürger (dfb Flörsheim),4,CDU,8,Die Freien Bürger (dfb Flörsheim),4,Die Freien Bürger (dfb Flörsheim),4,Die Freien Bürger (dfb Flörsheim),4,Die Freien Bürger (dfb Flörsheim),4
508,19,Floersheim am Main,CDU,9,37,FDP,1,Die Freien Bürger (dfb Flörsheim),4,SPD,5,Grüne Alternative Liste Flörsheim,2,CDU,9,CDU,9,CDU,9,CDU,9,CDU,9,CDU,9,CDU,9
509,20,Floersheim am Main,SPD,4,37,CDU,10,CDU,11,Die Freien Bürger (dfb Flörsheim),5,Die Freien Bürger (dfb Flörsheim),4,CDU,10,CDU,10,SPD,4,SPD,4,SPD,4,SPD,4,SPD,4
510,21,Floersheim am Main,FDP,3,37,Grüne Alternative Liste Flörsheim,3,FDP,2,CDU,5,CDU,9,Die Freien Bürger (dfb Flörsheim),5,SPD,4,Grüne Alternative Liste Flörsheim,3,CDU,10,CDU,10,CDU,10,CDU,10
511,22,Floersheim am Main,CDU,10,37,SPD,5,CDU,12,Grüne Alternative Liste Flörsheim,5,SPD,6,CDU,11,Grüne Alternative Liste Flörsheim,3,Die Freien Bürger (dfb Flörsheim),5,Grüne Alternative Liste Flörsheim,3,Grüne Alternative Liste Flörsheim,3,Grüne Alternative Liste Flörsheim,3,Grüne Alternative Liste Flörsheim,3
512,23,Floersheim am Main,Die Freien Bürger (dfb Flörsheim),5,37,Die Freien Bürger (dfb Flörsheim),5,CDU,13,FDP,4,CDU,10,Grüne Alternative Liste Flörsheim,4,Die Freien Bürger (dfb Flörsheim),5,CDU,10,Die Freien Bürger (dfb Flörsheim),5,Die Freien Bürger (dfb Flörsheim),5,Die Freien Bürger (dfb Flörsheim),5,Die Freien Bürger (dfb Flörsheim),5
513,24,Floersheim am Main,Grüne Alternative Liste Flörsheim,3,37,CDU,11,Die Freien Bürger (dfb Flörsheim),5,SPD,6,Die Freien Bürger (dfb Flörsheim),5,FDP,3,CDU,11,CDU,11,CDU,11,CDU,11,CDU,11,CDU,11
514,25,Floersheim am Main,CDU,11,37,CDU,12,SPD,4,Die Freien Bürger (dfb Flörsheim),6,CDU,11,SPD,3,FDP,3,FDP,3,SPD,5,SPD,5,SPD,5,SPD,5
515,26,Floersheim am Main,SPD,5,37,SPD,6,Grüne Alternative Liste Flörsheim,3,CDU,6,SPD,7,CDU,12,CDU,12,SPD,5,CDU,12,CDU,12,CDU,12,CDU,12
516,27,Floersheim am Main,CDU,12,37,Die Freien Bürger (dfb Flörsheim),6,CDU,14,Grüne Alternative Liste Flörsheim,6,FDP,3,CDU,13,Die Freien Bürger (dfb Flörsheim),6,Die Freien Bürger (dfb Flörsheim),6,FDP,3,FDP,3,FDP,3,FDP,3
517,28,Floersheim am Main,Die Freien Bürger (dfb Flörsheim),6,37,CDU,13,CDU,15,SPD,7,CDU,12,Die Freien Bürger (dfb Flörsheim),6,SPD,5,CDU,12,Die Freien Bürger (dfb Flörsheim),6,Die Freien Bürger (dfb Flörsheim),6,Die Freien Bürger (dfb Flörsheim),6,Die Freien Bürger (dfb Flörsheim),6
518,29,Floersheim am Main,FDP,4,37,Grüne Alternative Liste Flörsheim,4,Die Freien Bürger (dfb Flörsheim),6,Die Freien Bürger (dfb Flörsheim),7,Grüne Alternative Liste Flörsheim,3,CDU,14,CDU,13,CDU,13,CDU,13,CDU,13,CDU,13,CDU,13
519,30,Floersheim am Main,CDU,13,37,CDU,14,CDU,16,FDP,5,Die Freien Bürger (dfb Flörsheim),6,Grüne Alternative Liste Flörsheim,5,Grüne Alternative Liste Flörsheim,4,Grüne Alternative Liste Flörsheim,4,SPD,6,SPD,6,SPD,6,SPD,6
520,31,Floersheim am Main,SPD,6,37,SPD,7,SPD,5,CDU,7,SPD,8,CDU,15,CDU,14,SPD,6,CDU,14,CDU,14,CDU,14,CDU,14
521,32,Floersheim am Main,Grüne Alternative Liste Flörsheim,4,37,CDU,15,FDP,3,Grüne Alternative Liste Flörsheim,7,CDU,13,Die Freien Bürger (dfb Flörsheim),7,Die Freien Bürger (dfb Flörsheim),7,Die Freien Bürger (dfb Flörsheim),7,Grüne Alternative Liste Flörsheim,4,Grüne Alternative Liste Flörsheim,4,Grüne Alternative Liste Flörsheim,4,Grüne Alternative Liste Flörsheim,4
522,33,Floersheim am Main,CDU,14,37,Die Freien Bürger (dfb Flörsheim),7,CDU,17,SPD,8,CDU,14,FDP,4,CDU,15,CDU,14,CDU,15,CDU,15,CDU,15,CDU,15
523,34,Floersheim am Main,Die Freien Bürger (dfb Flörsheim),7,37,CDU,16,Grüne Alternative Liste Flörsheim,4,Die Freien Bürger (dfb Flörsheim),8,SPD,9,SPD,4,SPD,6,CDU,15,Die Freien Bürger (dfb Flörsheim),7,Die Freien Bürger (dfb Flörsheim),7,Die Freien Bürger (dfb Flörsheim),7,Die Freien Bürger (dfb Flörsheim),7
524,35,Floersheim am Main,CDU,15,37,Grüne Alternative Liste Flörsheim,5,CDU,18,CDU,8,Die Freien Bürger (dfb Flörsheim),7,CDU,16,FDP,4,FDP,4,CDU,16,CDU,16,CDU,16,CDU,16
525,36,Floersheim am Main,FDP,5,37,CDU,17,Die Freien Bürger (dfb Flörsheim),7,FDP,6,CDU,15,CDU,17,CDU,16,Die Freien Bürger (dfb Flörsheim),8,FDP,4,FDP,4,FDP,4,FDP,4
526,0,Frankenberg (Eder),SPD,1,37,SPD,1,CDU,1,SPD,1,SPD,1,CDU,1,Grüne,1,SPD,1,CDU,1,CDU,1,CDU,1,CDU,1
527,1,Frankenberg (Eder),CDU,1,37,CDU,1,CDU,2,Grüne,1,CDU,1,Grüne,1,CDU,1,CDU,1,SPD,1,SPD,1,SPD,1,SPD,1
528,2,Frankenberg (Eder),Grüne,1,37,Grüne,1,SPD,1,CDU,1,SPD,2,CDU,2,SPD,1,Grüne,1,Grüne,1,Grüne,1,Grüne,1,Grüne,1
529,3,Frankenberg (Eder),SPD,2,37,SPD,2,Grüne,1,SPD,2,Grüne,1,Grüne,2,Grüne,2,SPD,2,CDU,2,CDU,2,CDU,2,CDU,2
530,4,Frankenberg (Eder),FDP,1,37,CDU,2,CDU,3,FW,1,SPD,3,FW,1,FW,1,FW,1,SPD,2,SPD,2,SPD,2,SPD,2
531,5,Frankenberg (Eder),CDU,2,37,FW,1,FW,1,Grüne,2,FW,1,FDP,1,CDU,2,CDU,2,FW,1,FW,1,FW,1,FW,1
532,6,Frankenberg (Eder),FW,1,37,Grüne,2,CDU,4,FDP,1,CDU,2,SPD,1,Grüne,3,FDP,1,Grüne,2,Grüne,2,Grüne,2,Grüne,2
533,7,Frankenberg (Eder),Grüne,2,37,SPD,3,SPD,2,SPD,3,SPD,4,CDU,3,SPD,2,SPD,3,FDP,1,FDP,1,FDP,1,FDP,1
534,8,Frankenberg (Eder),SPD,3,37,CDU,3,Grüne,2,CDU,2,Grüne,2,Grüne,3,FDP,1,Grüne,2,CDU,3,CDU,3,CDU,3,CDU,3
535,9,Frankenberg (Eder),CDU,3,37,Grüne,3,CDU,5,Grüne,3,FDP,1,CDU,4,Grüne,4,CDU,3,SPD,3,SPD,3,SPD,3,SPD,3
536,10,Frankenberg (Eder),Grüne,3,37,SPD,4,CDU,6,SPD,4,CDU,3,Grüne,4,CDU,3,SPD,4,Grüne,3,Grüne,3,Grüne,3,Grüne,3
537,11,Frankenberg (Eder),SPD,4,37,CDU,4,SPD,3,FW,2,SPD,5,FW,2,SPD,3,FW,2,CDU,4,CDU,4,CDU,4,CDU,4
538,12,Frankenberg (Eder),FDP,2,37,FW,2,Grüne,3,Grüne,4,SPD,6,CDU,5,Grüne,5,CDU,4,SPD,4,SPD,4,SPD,4,SPD,4
539,13,Frankenberg (Eder),CDU,4,37,SPD,5,FDP,1,CDU,3,FW,2,Grüne,5,FW,2,Grüne,3,FW,2,FW,2,FW,2,FW,2
540,14,Frankenberg (Eder),FW,2,37,Grüne,4,CDU,7,SPD,5,CDU,4,FDP,2,CDU,4,SPD,5,CDU,5,CDU,5,CDU,5,CDU,5
541,15,Frankenberg (Eder),Grüne,4,37,CDU,5,FW,2,FDP,2,Grüne,3,SPD,2,Grüne,6,CDU,5,Grüne,4,Grüne,4,Grüne,4,Grüne,4
542,16,Frankenberg (Eder),SPD,5,37,SPD,6,CDU,8,Grüne,5,SPD,7,CDU,6,SPD,4,FDP,2,SPD,5,SPD,5,SPD,5,SPD,5
543,17,Frankenberg (Eder),CDU,5,37,CDU,6,SPD,4,SPD,6,SPD,8,Grüne,6,Grüne,7,SPD,6,FDP,2,FDP,2,FDP,2,FDP,2
544,18,Frankenberg (Eder),SPD,6,37,Grüne,5,Grüne,4,CDU,4,CDU,5,FW,3,CDU,5,FW,3,CDU,6,CDU,6,CDU,6,CDU,6
545,19,Frankenberg (Eder),Grüne,5,37,FW,3,CDU,9,FW,3,SPD,9,CDU,7,SPD,5,Grüne,4,SPD,6,SPD,6,SPD,6,SPD,6
546,20,Frankenberg (Eder),FDP,3,37,SPD,7,CDU,10,Grüne,6,Grüne,4,Grüne,7,FDP,2,CDU,6,Grüne,5,Grüne,5,Grüne,5,Grüne,5
547,21,Frankenberg (Eder),CDU,6,37,CDU,7,SPD,5,SPD,7,FDP,2,CDU,8,Grüne,8,SPD,7,FW,3,FW,3,FW,3,FW,3
548,22,Frankenberg (Eder),FW,3,37,Grüne,6,FW,3,CDU,5,FW,3,Grüne,8,FW,3,CDU,7,CDU,7,CDU,7,CDU,7,CDU,7
549,23,Frankenberg (Eder),SPD,7,37,SPD,8,Grüne,5,FDP,3,CDU,6,FDP,3,CDU,6,SPD,8,SPD,7,SPD,7,SPD,7,SPD,7
550,24,Frankenberg (Eder),CDU,7,37,CDU,8,CDU,11,SPD,8,SPD,10,SPD,3,Grüne,9,FW,4,Grüne,6,Grüne,6,Grüne,6,Grüne,6
551,25,Frankenberg (Eder),Grüne,6,37,SPD,9,CDU,12,Grüne,7,SPD,11,CDU,9,SPD,6,Grüne,5,CDU,8,CDU,8,CDU,8,CDU,8
552,26,Frankenberg (Eder),SPD,8,37,Grüne,7,SPD,6,FW,4,Grüne,5,FW,4,Grüne,10,FDP,3,SPD,8,SPD,8,SPD,8,SPD,8
553,27,Frankenberg (Eder),FDP,4,37,FW,4,Grüne,6,SPD,9,CDU,7,Grüne,9,CDU,7,CDU,8,FW,4,FW,4,FW,4,FW,4
554,28,Frankenberg (Eder),CDU,8,37,CDU,9,CDU,13,Grüne,8,SPD,12,CDU,10,SPD,7,SPD,9,Grüne,7,Grüne,7,Grüne,7,Grüne,7
555,29,Frankenberg (Eder),FW,4,37,SPD,10,FDP,2,CDU,6,FW,4,Grüne,10,FW,4,Grüne,6,FDP,3,FDP,3,FDP,3,FDP,3
556,30,Frankenberg (Eder),Grüne,7,37,Grüne,8,CDU,14,SPD,10,SPD,13,CDU,11,Grüne,11,CDU,9,CDU,9,CDU,9,CDU,9,CDU,9
557,31,Frankenberg (Eder),SPD,9,37,CDU,10,FW,4,Grüne,9,CDU,8,FDP,4,FDP,3,SPD,10,SPD,9,SPD,9,SPD,9,SPD,9
558,32,Frankenberg (Eder),CDU,9,37,FDP,1,SPD,7,FDP,4,Grüne,6,Grüne,11,CDU,8,FW,5,CDU,10,CDU,10,CDU,10,CDU,10
559,33,Frankenberg (Eder),Grüne,8,37,SPD,11,CDU,15,CDU,7,FDP,3,FW,5,Grüne,12,CDU,10,Grüne,8,Grüne,8,Grüne,8,Grüne,8
560,34,Frankenberg (Eder),SPD,10,37,FW,5,Grüne,7,FW,5,SPD,14,SPD,4,SPD,8,SPD,11,SPD,10,SPD,10,SPD,10,SPD,10
561,35,Frankenberg (Eder),FDP,5,37,CDU,11,CDU,16,SPD,11,CDU,9,CDU,12,Grüne,13,FDP,4,FW,5,FW,5,FW,5,FW,5
562,36,Frankenberg (Eder),CDU,10,37,Grüne,9,SPD,8,Grüne,10,SPD,15,Grüne,12,CDU,9,Grüne,7,CDU,11,CDU,11,CDU,11,CDU,11
563,0,Friedrichsdorf,Grüne,1,45,Grüne,1,CDU,1,Grüne,1,Grüne,1,Grüne,1,Grüne,1,Grüne,1,Grüne,1,Grüne,1,Grüne,1,Grüne,1
564,1,Friedrichsdorf,CDU,1,45,CDU,1,Grüne,1,Grüne,2,CDU,1,CDU,1,CDU,1,FW,1,CDU,1,CDU,1,CDU,1,CDU,1
565,2,Friedrichsdorf,FDP,1,45,SPD,1,CDU,2,FDP,1,SPD,1,Grüne,2,Grüne,2,CDU,1,Grüne,2,Grüne,2,Grüne,2,Grüne,2
566,3,Friedrichsdorf,Grüne,2,45,Grüne,2,Grüne,2,SPD,1,Grüne,2,FDP,1,FW,1,FDP,1,SPD,1,SPD,1,SPD,1,SPD,1
567,4,Friedrichsdorf,SPD,1,45,FW,1,FW,1,FW,1,FW,1,FW,1,FDP,1,SPD,1,FW,1,FW,1,FW,1,FW,1
568,5,Friedrichsdorf,FW,1,45,CDU,2,FDP,1,Grüne,3,FDP,1,CDU,2,Grüne,3,Grüne,2,FDP,1,FDP,1,FDP,1,FDP,1
569,6,Friedrichsdorf,CDU,2,45,Grüne,3,SPD,1,CDU,1,CDU,2,Grüne,3,SPD,1,FW,2,CDU,2,CDU,2,CDU,2,CDU,2
570,7,Friedrichsdorf,Grüne,3,45,SPD,2,CDU,3,Grüne,4,SPD,2,Grüne,4,CDU,2,CDU,2,Grüne,3,Grüne,3,Grüne,3,Grüne,3
571,8,Friedrichsdorf,FDP,2,45,Grüne,4,Grüne,3,FDP,2,Grüne,3,CDU,3,Grüne,4,FDP,2,CDU,3,CDU,3,CDU,3,CDU,3
572,9,Friedrichsdorf,Grüne,4,45,CDU,3,CDU,4,SPD,2,CDU,3,FDP,2,Grüne,5,SPD,2,Grüne,4,Grüne,4,Grüne,4,Grüne,4
573,10,Friedrichsdorf,CDU,3,45,FW,2,Grüne,4,FW,2,Grüne,4,FW,2,FW,2,Grüne,3,SPD,2,SPD,2,SPD,2,SPD,2
574,11,Friedrichsdorf,SPD,2,45,Grüne,5,FW,2,Grüne,5,FW,2,Grüne,5,FDP,2,FW,3,FW,2,FW,2,FW,2,FW,2
575,12,Friedrichsdorf,FW,2,45,SPD,3,FDP,2,Grüne,6,FDP,2,CDU,4,CDU,3,CDU,3,FDP,2,FDP,2,FDP,2,FDP,2
576,13,Friedrichsdorf,Grüne,5,45,CDU,4,CDU,5,FDP,3,SPD,3,Grüne,6,Grüne,6,FDP,3,Grüne,5,Grüne,5,Grüne,5,Grüne,5
577,14,Friedrichsdorf,FDP,3,45,Grüne,6,SPD,2,SPD,3,Grüne,5,FDP,3,Grüne,7,LF,1,CDU,4,CDU,4,CDU,4,CDU,4
578,15,Friedrichsdorf,CDU,4,45,FW,3,Grüne,5,CDU,2,CDU,4,Grüne,7,SPD,2,Grüne,4,Grüne,6,Grüne,6,Grüne,6,Grüne,6
579,16,Friedrichsdorf,Grüne,6,45,CDU,5,CDU,6,Grüne,7,SPD,4,CDU,5,CDU,4,SPD,3,SPD,3,SPD,3,SPD,3,SPD,3
580,17,Friedrichsdorf,SPD,3,45,SPD,4,Grüne,6,FW,3,Grüne,6,FW,3,Grüne,8,FW,4,FW,3,FW,3,FW,3,FW,3
581,18,Friedrichsdorf,FW,3,45,Grüne,7,FW,3,LF,1,FW,3,Grüne,8,FW,3,CDU,4,FDP,3,FDP,3,FDP,3,FDP,3
582,19,Friedrichsdorf,CDU,5,45,LF,1,CDU,7,Grüne,8,FDP,3,LF,1,FDP,3,FDP,4,CDU,5,CDU,5,CDU,5,CDU,5
583,20,Friedrichsdorf,Grüne,7,45,Grüne,8,FDP,3,FDP,4,CDU,5,CDU,6,Grüne,9,Grüne,5,Grüne,7,Grüne,7,Grüne,7,Grüne,7
584,21,Friedrichsdorf,LF,1,45,CDU,6,Grüne,7,SPD,4,LF,1,Grüne,9,LF,1,FW,5,LF,1,LF,1,LF,1,LF,1
585,22,Friedrichsdorf,FDP,4,45,SPD,5,LF,1,Grüne,9,SPD,5,FDP,4,CDU,5,CDU,5,CDU,6,CDU,6,CDU,6,CDU,6
586,23,Friedrichsdorf,Grüne,8,45,FW,4,SPD,3,FW,4,Grüne,7,FW,4,Grüne,10,SPD,4,Grüne,8,Grüne,8,Grüne,8,Grüne,8
587,24,Friedrichsdorf,CDU,6,45,Grüne,9,CDU,8,Grüne,10,CDU,6,CDU,7,SPD,3,FDP,5,SPD,4,SPD,4,SPD,4,SPD,4
588,25,Friedrichsdorf,SPD,4,45,CDU,7,Grüne,8,CDU,3,Grüne,8,Grüne,10,Grüne,11,Grüne,6,FW,4,FW,4,FW,4,FW,4
589,26,Friedrichsdorf,FW,4,45,Grüne,10,FW,4,FDP,5,FW,4,SPD,1,FW,4,FW,6,FDP,4,FDP,4,FDP,4,FDP,4
590,27,Friedrichsdorf,Grüne,9,45,SPD,6,CDU,9,SPD,5,FDP,4,Grüne,11,FDP,4,CDU,6,Grüne,9,Grüne,9,Grüne,9,Grüne,9
591,28,Friedrichsdorf,FDP,5,45,CDU,8,Grüne,9,Grüne,11,SPD,6,CDU,8,CDU,6,SPD,5,CDU,7,CDU,7,CDU,7,CDU,7
592,29,Friedrichsdorf,CDU,7,45,Grüne,11,FDP,4,FW,5,Grüne,9,FDP,5,Grüne,12,FDP,6,Grüne,10,Grüne,10,Grüne,10,Grüne,10
593,30,Friedrichsdorf,Grüne,10,45,FW,5,CDU,10,Grüne,12,CDU,7,Grüne,12,Grüne,13,Grüne,7,SPD,5,SPD,5,SPD,5,SPD,5
594,31,Friedrichsdorf,SPD,5,45,Grüne,12,SPD,4,FDP,6,SPD,7,FW,5,CDU,7,LF,2,CDU,8,CDU,8,CDU,8,CDU,8
595,32,Friedrichsdorf,FW,5,45,SPD,7,Grüne,10,Grüne,13,Grüne,10,CDU,9,FW,5,FW,7,FW,5,FW,5,FW,5,FW,5
596,33,Friedrichsdorf,FDP,6,45,CDU,9,FW,5,SPD,6,FW,5,Grüne,13,Grüne,14,CDU,7,FDP,5,FDP,5,FDP,5,FDP,5
597,34,Friedrichsdorf,Grüne,11,45,Grüne,13,CDU,11,CDU,4,FDP,5,FDP,6,SPD,4,Grüne,8,Grüne,11,Grüne,11,Grüne,11,Grüne,11
598,35,Friedrichsdorf,CDU,8,45,FW,6,Grüne,11,Grüne,14,CDU,8,Grüne,14,FDP,5,FDP,7,CDU,9,CDU,9,CDU,9,CDU,9
599,36,Friedrichsdorf,Grüne,12,45,CDU,10,CDU,12,FW,6,Grüne,11,CDU,10,Grüne,15,SPD,6,Grüne,12,Grüne,12,Grüne,12,Grüne,12
600,37,Friedrichsdorf,CDU,9,45,SPD,8,FDP,5,FDP,7,SPD,8,FW,6,CDU,8,FW,8,SPD,6,SPD,6,SPD,6,SPD,6
